"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,3921.90.11.000P,""CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS PLACAS, LAMINAS, HOJAS Y TIRAS, DE PLASTICO.    -Las demÃ‚Â¿s.    Estratificadas.       Laminados de resina melamina formaldehido.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8528.69.10.000U,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  MONITORES Y PROYECTORES, QUE NO INCORPOREN APARATO RECEPTOR DE TELEVISIÃ‚Â¿N;" APARATOS RECEPTORES DE TELEVISIÃ‚Â¿N, INCLUSO CON APARATO RECEPTOR DE RADIODIFUSIÃ‚Â¿N O GRABACIÃ‚Â¿N O REPRODUCCIÃ‚Â¿N DE SONIDO O IMAGEN INCORPORADO. - Proyectores:  - Proyectores: --Los demÃ‚Â¿s       Con tecnologÃ‚Â¿a de dispositivo digital de microespejos (Digital Micromirro""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,2833.29.90.000L,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  SULFATOS; ALUMBRES;" PEROXOSULFATOS (PERSULFATOS). -Los demÃ‚Â¿s sulfatos:  -Los demÃ‚Â¿s sulfatos: --Los demÃ‚Â¿s.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,6815.99.90.000Q,""CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.  MANUFACTURA DE PIEDRA O DEMAS MATERIAS MINERALES(INCLUIDAS LAS FIBRAS DE CARBONO Y SUS MANUFACTURAS Y LAS MANUFACTURAS DE TURBA), NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE. -Las demÃ‚Â¿s manufacturas:  -Las demÃ‚Â¿s manufacturas: --Las demÃ‚Â¿s.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4810.19.99.000L,""CAPITULO 48 PAPEL Y CARTON";" MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON, ESTUCADOS POR UNA O LAS DOS CARAS CON CAOLIN U OTRAS SUSTANCIAS INORGANICAS,CON AGLUTINANTE O SIN EL, CON EXCLUSION DECUALQUIER OTRO ESTUCADO O RECUBRIMIENTO,INCLUSO COLOREADOS O DECORADOS EN LA SUPERFICIE O IMPRESOS, EN BOBINAS (ROLLOS) O EN HOJAS DE FORMA CUADRADA O RECTANGULAR, DE CUALQUIER TAMAÃ‚Â¿O. -Papel y cartÃ‚Â¿n de los tipos utilizados para escribir, imprimir u otros fines grÃ‚Â¿ficos, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10 % en peso del contenido total de fibra:                                                                                        sin fibras obtenidas por procedimiento mecÃ‚Â¿nico, o en los que un mÃ‚Â¿ximo del10%, en peso, del contenido total de fibra estÃ‚Â¿ constituÃ‚Â¿do por dicha fibras:  -Papel y cartÃ‚Â¿n de los tipos utilizados para escribir, imprimir u otros fines grÃ‚Â¿ficos, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10 % en peso del contenido total de fibra:                                                                                        sin fibras obtenidas por procedimiento mecÃ‚Â¿nico, o en los que un mÃ‚Â¿ximo del10%, en peso, del contenido total de fibra estÃ‚Â¿ constituÃ‚Â¿do por dicha fibras: --Los demÃ‚Â¿s --- Los demÃ‚Â¿s   Los demÃ‚Â¿s """;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8407.21.90.000D,""BIENES DE CAPITAL  MOTORES DE EMBOLO (PISTON) ALTERNATIVO Y MOTORESROTATIVOS, DE ENCENDIDO POR CHISPA (MOTORES DEEXPLOSION). -Motores para la propulsiÃ‚Â¿n de barcos.  -Motores para la propulsiÃ‚Â¿n de barcos. --Del tipo fueraborda.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6004.10.11.000H,""CAPITULO 60  GENEROS DE PUNTO  TEJIDOS DE PUNTO DE ANCHURA SUPERIOR A 30 cm, CON UN CONTENIDO DE HILADOS DEELASTÃ‚Â¿MEROS O DE HILOS DE CAUCHO SUPERIOR O IGUAL AL 5 % EN PESO, EXCEPTO LOSDE LA PARTIDA 60.01.    -Con un contenido de hilados de elastÃ‚Â¿meros superior o igual al 5 % en peso, sin hilos de caucho    De algodÃ‚Â¿n       Crudos o blanqueados""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9403.89.00.000F,""CAPITULO 94MUEBLES"; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES;" CONSTRUCCIONES PREFABRICADAS  LOS DEMAS MUEBLES Y SUS PARTES. - Muebles de otras materias, incluidos el roten (ratÃ‚Â¿n)*, mimbre, bambÃ‚Â¿ o materias similares:  - Muebles de otras materias, incluidos el roten (ratÃ‚Â¿n)*, mimbre, bambÃ‚Â¿ o materias similares:     - - Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;
"2022,9506.51.00.000E,""CAPITULO 95JUGUETES, JUEGOS Y ARTICULOS PARA RECREO O PARA DEPORTE"; SUS PARTES Y ACCESORIOS  ARTICULOS Y MATERIAL PARA CULTURA FISICA,  GIMNASIA, ATLETISMO, DEMAS DEPORTES (INCLUIDO EL TENIS DE MESA) O PARA JUEGOS AL AIRE LIBRE, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO;" PISCINAS, INCLUSO INFANTILES. -Raquetas de tenis, de """"badminton"""" o similares, incluso sin cordaje:  -Raquetas de tenis, de """"badminton"""" o similares, incluso sin cordaje:     --Raquetas de tenis, incluso sin cordaje.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,1702.30.20.000D,""CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA  LOS DEMÃ‚Â¿S AZUCARES,INCLUIDAS LA LACTOSA,MALTOSA,GLUCOSA Y FRUCTUOSA(LEVULOSA)QUIMICAMENTE PURAS,EN ESTADO SÃ‚Â¿LIDO";JARABE DE AZÃ‚Â¿CAR SIN ADICCIÃ‚Â¿N DEAROMATIZANTE NI COLORANTE;SUCEDÃ‚Â¿NEOS DE LA MIEL,INCLUSO MEZCLADOS CON MIEL NATURAL;"AZÃ‚Â¿CAR Y MELA-ZA CARAMELIZADOS    -Glucosa y jarabe de glucosa, sin fructosa o con un contenido de fructosa, en estado seco, inferior al 20 % en peso.       Jarabe de glucosa.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8415.10.11.000Q,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS Y APARATOS PARA ACONDICIONAMIENTO DEAIRE QUE COMPRENDAN UN VENTILADOR CON MOTOR Y LOSDISPOSITIVOS ADECUADOS PARA MODIFICAR LA TEMPERATURA Y LA HUMEDAD, AUNQUE NO REGULEN SEPARADAMENTE EL GRADO HIGROMETRICO.    -De pared o para ventanas, formando un solo cuerpo o del tipo sistema de elementosseparados (Ã‚Â¿split-systemÃ‚Â¿)    Con capacidad inferior o igual a 30.000 frigorÃ‚Â¿as/h       Del tipo elementos separados (""""split-system"""")""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8504.23.00.000Q,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  TRANSFORMADORES ELECTRICOS, CONVERTIDORES ELECTRICOS ESTATICOS (POR EJEMPLO:RECTIFICADORES), BOBINAS DE REACTANCIAS (DEAUTOINDUCCION). -Transformadores de dielÃ‚Â¿ctrico lÃ‚Â¿quido:  -Transformadores de dielÃ‚Â¿ctrico lÃ‚Â¿quido:     --De potencia superior a 10000 KVA.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9027.50.90.000H,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA ANALISIS FISICOS OQUIMICOS (POR EJEMPLO: POLARIMETROS, REFRACTOMETROS, ESPECTOMETROS, ANALIZADORES DEGASES O HUMOS); INSTRUMENTOS Y APARATOS PARA ENSAYOS DE VISCOSIDAD, POROSIDAD, DILATACION, TENSION SUPERFICIAL O SIMILARES O PARA MEDIDAS CALORIMETRICAS, ACUSTICAS O FOTOMETRICAS (INCLUIDOS LOS EXPOSIMETROS);" MICROTOMOS.    -Los demÃ‚Â¿s instrumentos y aparatos que utilicen radiaciones Ã‚Â¿pticas (UV, visibles, IR).       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;
"2022,7612.90.12.000K,""CAPITULO 76 En este Capitulo se entiende pora.)Barras  b.)Perfiles  c)Alambre  d.) Chapas, hojas y tiras  e.)tubos  DEPOSITOS, BARRILES, TAMBORES, BIDONES, BOTES, CAJAS Y RECIPIENTES SIMILARES, DE ALUMINIO (INCLUIDOS LOS ENVASES TUBULARES RIGIDOS O FLEXIBLES), PARA CUALQUIER MATERIA (EXCEPTO GAS COMPRIMIDO O LICUADO), DE CAPACIDAD INFERIOR O IGUAL A 300 l., SIN DISPOSITIVOS MECANICOS O TERMICOS, INCLUSO CON REVESTIMIENTO INTERIOR O CALORIFUGO.    -Los demÃ‚Â¿s.    Envases tubulares.       IsotÃ‚Â¿rmicos refrigerados a nitrÃ‚Â¿geno lÃ‚Â¿quido, de los tipos utilizados para semen, sangre, tejidos biolÃ‚Â¿gicos y productos similares""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4010.36.00.000V,""CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  CORREAS TRANSPORTADORAS O PARA TRANSMISION, DECAUCHO VULCANIZADO. -Correas para transmision:  -Correas para transmision:     --Correas para transmisiÃ‚Â¿n sin fin, con muescas (sincrÃ‚Â¿nicas), de circunferencia exterior superior a 150 cm pero inferior o igual a  198 cm""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3301.29.13.000H,""CAPITULO 33ACEITES ESENCIALES Y RESINOIDES";" PEPARACIONES DE  PERFUMERIA, DE TOCADOR O DE COSMETICA  ACEITES ESENCIALES (DESTERPENADOS O NO ),INCLUIDOS LOS """"CONCRETOS"""" O """"ABSOLUTOS""""";RESINOIDES; OLEORRESINAS DE EXTRACCION; DISOLUCIONES CONCENTRADAS DE ACEITES ESENCIALES EN GRASAS, ACEITES FIJOS, CERAS O MATERIAS ANALOGAS,OBTENIDAS POR ENFLORADO O MACERACION; SUBPRODUCTOS TERPENICOS RESIDUALES DE LA DESTERPENACION DE LOS ACEITES ESENCIALES; DESTILADOS ACUOSOS AROMATICOS Y DISOLUCIONES ACUOSAS DE ACEITES ESENCIALES. -Aceites esenciales, excepto los de agrios  (citricos):  -Aceites esenciales, excepto los de agrios  (citricos): --Los demÃ‚Â¿s.    De citronela, de cedro, de palo santo (Bulnesia sarmientoi); de lemongrÃ‚Â¿s; de palo de rosa; de palma rosa; de coriandro; de cabreÃ‚Â¿va;" de eucalipto.       De palo santo (Bulnesia sarmientoi).""";;;;;;;;;;;;;;
"2022,3301.12.10.000M,""CAPITULO 33ACEITES ESENCIALES Y RESINOIDES";" PEPARACIONES DE  PERFUMERIA, DE TOCADOR O DE COSMETICA  ACEITES ESENCIALES (DESTERPENADOS O NO ),INCLUIDOS LOS """"CONCRETOS"""" O """"ABSOLUTOS""""";RESINOIDES; OLEORRESINAS DE EXTRACCION; DISOLUCIONES CONCENTRADAS DE ACEITES ESENCIALES EN GRASAS, ACEITES FIJOS, CERAS O MATERIAS ANALOGAS,OBTENIDAS POR ENFLORADO O MACERACION; SUBPRODUCTOS TERPENICOS RESIDUALES DE LA DESTERPENACION DE LOS ACEITES ESENCIALES;" DESTILADOS ACUOSOS AROMATICOS Y DISOLUCIONES ACUOSAS DE ACEITES ESENCIALES. -Aceites esenciales de agrios (citricos):  -Aceites esenciales de agrios (citricos): --De naranja.       De """"Petit grain"""".""";;;;;;;;;;;;;;;;;;;;
"2022,3407.00.20.000B,""CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.      PASTAS DE MODELAR, INCLUIDAS LAS PRESENTADASPARA ENTRETENIMIENTO DE LOS NIÃ‚Â¿OS";" PREPARACIONESLLAMADAS """"CERAS PARA ODONTOLOGIA""""O COMPUESTOS PARA IMPRESION DENTAL"""" PRESENTADAS EN JUEGOS O SURTIDOS, EN ENVASES PARA LA VENTA ALPOR MENOR O EN PLAQUITAS, HERRADURAS, BARRITAS O FORMAS SIMILARES";" LAS DEMAS PREPARACIONES PARA ODONTOLOGIA A BASE DE YESO FRAGUABLE.       Preparaciones llamadas """"ceras para odontologma"""".""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8438.30.00.000Y,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS Y APARATOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO PARALA PREPARACION O LA FABRICACION INDUSTRIAL DE ALIMENTOS O DE BEBIDAS, EXCEPTO LAS MAQUINAS YAPARATOS PARA LA EXTRACCION O LA PREPARACION DEACEITES O GRASAS, VEGETALES FIJOS O ANIMALES.        -MÃ‚Â¿quinas y aparatos para la industria azucarera.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3809.10.90.000X,""CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  APRESTOS Y PRODUCTOS DE ACABADO, ACELERADORES DE TINTURA O DE FIJACION DE MATERIAS COLORANTES Y DEMAS PRODUCTOS Y PREPARACIONES (POR EJEMPLO: APRESTOS PREPARADOS Y PREPARACIONES MORDIENTES), DE LOS TIPOS UTILIZADOS EN LA INDUSTRIA TEXTIL, DEL PAPEL, CUERO O INDUSTRIAS SIMILARES, NO EXPRESADO NI COMPRENDIDO EN OTRA PARTE.    -A base de materias amilÃ‚Â¿ceas.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9030.89.90.000Z,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  OSCILOSCOPIOS, ANALIZADORES DE ESPECTRO Y DEMASINSTRUMENTOS Y APARATOS PARA MEDIDA O CONTROL DE MAGNITUDES ELECTRICAS;" INSTRUMENTOS Y APARATOS PARA MEDIDA O DETECCION DE RADIACIONES ALFA, BETA, GAMMA, X, COSMICAS O DEMAS RADIACIONES IONIZANTES. -Los demÃ‚Â¿s instrumentos y aparatos  -Los demÃ‚Â¿s instrumentos y aparatos --Los demÃ‚Â¿s.     Los demas     Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,4817.30.00.000E,""CAPITULO 48 PAPEL Y CARTON"; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  SOBRES, SOBRES CARTA, TARJETAS POSTALES SINILUSTRAR Y TARJETAS PARA CORRESPONDENCIA,DE PAPEL O CARTON;" CAJAS, BOLSA Y PRESENTACIONES SIMILARES DE PAPEL O CARTON,CON UN SURTIDO DE ARTICULOS DE CORRESPONDENCIA.        -Cajas, bolsa y presentaciones similares de papel o cartÃ‚Â¿n, con un surtido de artÃ‚Â¿culos para correspondencia.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,7212.30.00.000Z,""Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.  PRODUCTOS LAMINADOS PLANOS DE HIERRO O DE ACEROSIN ALEAR, DE ANCHURA INFERIOR A 600 mm.,CHAPADOS O REVESTIDOS.        -Cincados de otro modo.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8535.40.90.000B,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS PARA EL CORTE,EL SECCIONAMIENTO, LAPROTECCION, LA DERIVACION, EL EMPALME O LACONEXION DE CIRCUITOS ELECTRICOS (POR EJEMPLO:INTERRUPTORES, CONMUTADORES, CORTACIRCUITOS,PARARRAYOS, LIMITADORES DE TENSION, SUPRESORES DEESTADOS TRANSITORIOS DE SOBRETENSION, TOMAS DECORRIENTE, CAJAS DE EMPALME), PARA UNA TENSIONSUPERIOR A 1000 VOLTIOS.    -Pararrayos, limitadores de tensiÃ‚Â¿n y  supresores de estados transitorios de sobre tensiÃ‚Â¿n.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3808.93.29.200N,""CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  INSECTICIDAS, RATICIDAS Y DEMAS ANTIRROEDORES, FUNGICIDAS, HERBICIDAS,INHIBIDORES DE GERMINACION Y REGULADORES DELCRECIMIENTO DE LAS PLANTAS, DESINFECTANTES YPRODUCTOS SIMILARES, PRESENTADOS EN FORMAS O ENVASES PARA LA VENTA AL POR MENOR, O COMOPREPARACIONES O EN ARTICULOS, TALES COMO CINTAS,MECHAS Y BUJIAS AZUFRADAS, Y PAPELES MATAMOSCAS. - Los demÃ‚Â¿s:  - Los demÃ‚Â¿s: - - Herbicidas, inhibidores de germinaciÃ‚Â¿n y reguladores del crecimiento de las plantas      Herbicidas presentados de otro modo ---- Los demÃ‚Â¿s  A base de glufosinato""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8208.10.00.000V,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES";" PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  CUCHILLAS Y HOJAS CORTANTES PARA MAQUINAS O PARAAPARATOS MECANICOS.        -Para trabajar metal.""";;;;;;;;;;;;;;;;;;;;;;;;;
2022,4011.50.00.000V,CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO.        -De los tipos utilizados en bicicletas.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2827.31.90.000H,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  CLORUROS, OXICLORUROS E HIDROXICLORUROS;BROMUROS Y OXIBROMUROS;" YODUROS Y OXIYODUROS. -Los demÃ‚Â¿s cloruros:  -Los demÃ‚Â¿s cloruros: --De magnesio.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,2936.29.90.000Y,""CAPITULO 29PRODUCTOS QUIMICOS ORGANICOS  PROVITAMINAS Y VITAMINAS, NATURALES O REPRODUCIDAS POR SINTESIS (INCLUIDOS LOS CONCENTRADOS NATURALES) Y SUS DERIVADOS UTILIZADOS PRINCIPALMENTE COMO VITAMINAS, MEZCLADOS O NO ENTRE SI O EN DISOLUCIONES DECUALQUIER CLASE. -Vitaminas y sus derivados, sin mezclar:  -Vitaminas y sus derivados, sin mezclar: --Las demÃ‚Â¿s vitaminas y sus derivados.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
2022,2102.30.00.000D,CAPITULO 21PREPARACIONES ALIMENTICIAS DIVERSAS  LEVADURAS (VIVAS O MUERTAS); LOS DEMASMICROORGANISMOS MONOCELULARES MUERTOS (EXCEPTO LAS VACUNAS DE LA PARTIDA 30.02); POLVOS PARA HORNEAR PREPARADOS.        -Polvos para hornear preparados.;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8451.21.00.000H,""BIENES DE CAPITAL  MAQUINAS Y APARATOS (EXCEPTO LAS MAQUINAS DE LAPARTIDA 84.50) PARA LAVAR, LIMPIAR,ESCURRIR, SECAR, PLANCHAR, PRENSAR (INCLUIDAS LAS PRENSASPARA FIJAR), BLANQUEAR, TEÃ‚Â¿IR, APRESTAR, ACABAR, RECUBRIR O IMPREGNAR HILADOS,TELAS O MANUFACTURAS TEXTILES Y MAQUINAS PARA EL REVESTIMIENTO DE TELAS U OTROS SOPORTES UTILIZADOS EN LA FABRICACION DE CUBRESUELOS, TALES COMO LINOLEO";" MAQUINAS PARA ENROLLAR, DESENROLLAR, PLEGAR, CORTAR O DENTAR TELAS. -MÃ‚Â¿quinas para secar  -MÃ‚Â¿quinas para secar     --De capacidad unitaria expresadas en peso de   ropa seca, inferior o igual a 10 kg.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3920.62.19.000N,""CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS PLACAS, LAMINAS, HOJAS, Y TIRAS, DE PLASTICO NO CELULAR Y SIN REFUERZO, ESTRATIFICACION NI SOPORTE O COMBINACION SIMILAR CON OTRAS MATERIAS. -De policarbonatos, resinas alcÃ‚Â¿dicas, poliÃ‚Â¿steres alÃ‚Â¿licos o demÃ‚Â¿s poliÃ‚Â¿steres:  -De policarbonatos, resinas alcÃ‚Â¿dicas, poliÃ‚Â¿steres alÃ‚Â¿licos o demÃ‚Â¿s poliÃ‚Â¿steres: --De poli(tereftalato de etileno)    De espesor inferior o igual a 40 micrÃ‚Â¿metros       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8311.90.00.000F,""CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  ALAMBRE, VARILLAS, TUBOS, PLACAS, ELECTRODOS YARTICULOS SIMILARES, DE METAL COMUN O CARBUROS METALICOS, RECUBIERTOS O RELLENOS DE DECAPANTES O FUNDENTES, PARA SOLDADURA ODEPOSITO DE METAL O CARBUROS METALICOS";"ALAMBRE Y VARILLAS, DE POLVO DE METAL COMUNAGLOMERADO, PARA METALIZACION POR PROYECCION.         - Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9303.30.00.000W,""CAPITULO 93  ARMAS Y MUNICIONES";" SUS PARTES Y ACCESORIOS  LAS DEMAS ARMAS DE FUEGO Y ARTEFACTOS SIMILARESQUE UTILICEN LA DEFLAGRACION DE POLVORA (POREJEMPLO: ARMAS DE CAZA, ARMAS DE AVANCARGA, PISTOLAS LANZACOHETE Y DEMAS ARTEFACTOS CONCEBIDOS UNICAMENTE PARA LANZAR COHETES DE SEÃ‚Â¿AL, PISTOLAS Y REVOLVERES DE FOGUEO, PISTOLAS DE MATARIFE, CAÃ‚Â¿ONES LANZACABO).        -Las demÃ‚Â¿s armas largas de caza o tiro deportivo.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8509.90.00.000W,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS ELECTROMECÃ‚Â¿NICOS CON MOTOR ELÃ‚Â¿CTRICO INCORPORADO, DE USO DOMÃ‚Â¿STICO, EXCEPTO LAS ASPIRADORAS DE LA PARTIDA 85.08.        -Partes.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6806.90.10.000C,""CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.  LANAS DE ESCORIAS, DE ROCA Y LANAS MINERALESSIMILARES"; VERMICULITA DILATADA, ARCILLADILATADA, ESPUMA DE ESCORIA Y PRODUCTOS MINERALES SIMILARES DILATADOS;" MEZCLAS YMANUFACTURAS DE MATERIAS MINERALES PARAAISLAMIENTO TERMICO O ACUSTICO O PARA LA ABSORCION DEL SONIDO, EXCEPTO LAS DE LASPARTIDAS 6811, 6812 O DEL CAPITULO 69.    -Los demÃ‚Â¿s.       Aluminosos o silicoaluminosos.""";;;;;;;;;;;;;;;;;;;;;;;;
2022,7020.00.10.000M,CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO                 Ampollas de vidrio para termos o demÃ‚Â¿s recipientes isotÃ‚Â¿rmicos aislados por vacÃ‚Â¿o;;;;;;;;;;;;;;;;;;;;;;;;;;
